Name,Qty,Footprint,Source,Unit Price,Price (total)
,,,,,
Artery AT32F421G8U7 120MHz,4,QFN-28, https://s.click.aliexpress.com/e/_c4kac8Sp , 0.72$, 2.88$
AONR36366,24,QFN-8,https://s.click.aliexpress.com/e/_c39jc5TP, 0.40$, 9.60$
DRV8300DRGER,4,QFN-24,https://s.click.aliexpress.com/e/_c3u9KDPJ,0.63$,2.54$
Mp1584en,1,soic-8,https://s.click.aliexpress.com/e/_c3eAcRAN,2.48$,2.48$
0320 10uH inductor,1,0320,https://s.click.aliexpress.com/e/_c4UOPaHJ,0.46$,0.46$
INA180A2IDBVR,1,sot-23,https://s.click.aliexpress.com/e/_c33I7N4Z,0.92$,5.26$
3W R001 Shunt,1,2512,https://www.aliexpress.com/item/1005010000851939.html?,0.26$,2.69$
10R resistor, 24,0402,https://s.click.aliexpress.com/e/_c3MuBFSl,0.04$,0.45$
1k resistor, 23,0402,https://s.click.aliexpress.com/e/_c3MuBFSl,0.04$,0.45$
10k resisotr, 24,0402,https://s.click.aliexpress.com/e/_c3MuBFSl,0.04$,0.45$
100nF capacitor,9, 0402,https://s.click.aliexpress.com/e/_c3PqnTa9,0.07$,0.70$
1uF capacitor,13, 0402,https://s.click.aliexpress.com/e/_c3PqnTa9,0.07$,0.70$
10uF capacitor,20, 0603, https://s.click.aliexpress.com/e/_c3CvnO8V,0.11$,1.12$
PCB Manufacturing,5, 6 layer,https://cart.jlcpcb.com/quote?,0.49$,2.45$
,,,TOTAL COST,,Around 32$

